sep=,
S2Chart
X of Ga2O3_silicon_calib 75  1 Measured 75 [Wavelength (nm)],Ga2O3_silicon_calib 75  1 Measured 75 - Delta,X of Ga2O3_silicon_calib 70  2 Measured 70 [Wavelength (nm)],Ga2O3_silicon_calib 70  2 Measured 70 - Delta,X of Ga2O3_silicon_calib 65  3 Measured 65 [Wavelength (nm)],Ga2O3_silicon_calib 65  3 Measured 65 - Delta,X of Ga2O3_silicon_calib 60  4 Measured 60 [Wavelength (nm)],Ga2O3_silicon_calib 60  4 Measured 60 - Delta,X of Ga2O3_silicon_calib 55  5 Measured 55 [Wavelength (nm)],Ga2O3_silicon_calib 55  5 Measured 55 - Delta,X of Ga2O3_silicon_calib 50  6 Measured 50 [Wavelength (nm)],Ga2O3_silicon_calib 50  6 Measured 50 - Delta,X of Ga2O3_silicon_calib 75  1 Generated 75 [Wavelength (nm)],Ga2O3_silicon_calib 75  1 Generated 75 - Delta,X of Ga2O3_silicon_calib 70  2 Generated 70 [Wavelength (nm)],Ga2O3_silicon_calib 70  2 Generated 70 - Delta,X of Ga2O3_silicon_calib 65  3 Generated 65 [Wavelength (nm)],Ga2O3_silicon_calib 65  3 Generated 65 - Delta,X of Ga2O3_silicon_calib 60  4 Generated 60 [Wavelength (nm)],Ga2O3_silicon_calib 60  4 Generated 60 - Delta,X of Ga2O3_silicon_calib 55  5 Generated 55 [Wavelength (nm)],Ga2O3_silicon_calib 55  5 Generated 55 - Delta,X of Ga2O3_silicon_calib 50  6 Generated 50 [Wavelength (nm)],Ga2O3_silicon_calib 50  6 Generated 50 - Delta
949.861845046817,-33.7978650622071,949.861845046817,-49.8660828053128,949.861845046817,-67.7053216260862,949.861845046817,-88.4079084634786,949.861845046817,251.176568964361,949.861845046817,231.888888011438,949.861845046817,-33.1573097138581,949.861845046817,-48.0451779498689,949.861845046817,-65.9622781579093,949.861845046817,-86.7029055874695,949.861845046817,251.79650615314,949.861845046817,232.620614007755
949.075788174938,-34.4174976287385,949.075788174938,-49.1629893426202,949.075788174938,-68.3541168889135,949.075788174938,-88.6125594340876,949.075788174938,249.134870724887,949.075788174938,231.285051144245,949.075788174938,-33.246201530479,949.075788174938,-48.1693612831345,949.075788174938,-66.1238045138325,949.075788174938,-86.8917462420036,949.075788174938,251.609619319605,949.075788174938,232.464763375151
948.289731303059,-34.2480196755359,948.289731303059,-49.6415834641033,948.289731303059,-67.1292107956028,948.289731303059,-89.6874245702004,948.289731303059,249.901321160401,948.289731303059,232.556676199821,948.289731303059,-33.3349309240663,948.289731303059,-48.2934152016798,948.289731303059,-66.2852494090229,948.289731303059,-87.0804373446772,948.289731303059,251.423075010896,948.289731303059,232.309347438919
947.50367443118,-34.1670934895598,947.50367443118,-49.4330931058685,947.50367443118,-67.9190220581495,947.50367443118,-88.599158879552,947.50367443118,251.641988490408,947.50367443118,230.75650399152,947.50367443118,-33.4234994504125,947.50367443118,-48.4173424664273,947.50367443118,-66.4466162908087,947.50367443118,-87.2689816631964,947.50367443118,251.23687075738,947.50367443118,232.154362991717
946.717617559296,-34.4597933490085,946.717617559296,-49.8567673444679,946.717617559296,-67.8103968398133,946.717617559296,-87.2302742035863,946.717617559296,249.297669671409,946.717617559296,231.481709230077,946.717617559296,-33.5119086781861,946.717617559296,-48.541145851596,946.717617559296,-66.607908611402,946.717617559296,-87.4573819572947,946.717617559296,251.051004096616,946.717617559296,231.999806839121
945.931560687416,-34.6954467423572,945.931560687416,-49.751381718207,945.931560687416,-68.1530159611001,945.931560687416,-89.2006368972711,945.931560687416,249.547858244934,945.931560687416,231.85670710803,945.931560687416,-33.6001601887615,945.931560687416,-48.6648281445699,945.931560687416,-66.7691298278025,945.931560687416,-87.64564097871,945.931560687416,250.865472573305,945.931560687416,231.845675799571
945.145503815532,-34.6460609901217,945.145503815532,-50.8992677357842,945.145503815532,-69.3086502734365,945.145503815532,-88.1589011240476,945.145503815532,250.080432085073,945.145503815532,229.708925666042,945.145503815532,-33.6882555760542,945.145503815532,-48.7883921457758,945.145503815532,-66.9302834017121,945.145503815532,-87.8337614711732,945.145503815532,250.680273739235,945.145503815532,231.691966704307
944.359446943657,-35.251603855492,944.359446943657,-49.7145913277144,944.359446943657,-68.99433635181,944.359446943657,-89.269456087486,944.359446943657,248.266209159646,944.359446943657,230.040080218549,944.359446943657,-33.7761964463505,944.359446943657,-48.911840668555,944.359446943657,-67.0913727994403,944.359446943657,-88.021746170383,944.359446943657,250.495405153243,944.359446943657,231.538676397314
943.573390071771,-35.1186933881689,943.573390071771,-50.1889983615001,943.573390071771,-68.7695256189247,943.573390071771,268.614076439999,943.573390071771,248.022451250058,943.573390071771,232.01206436673,943.573390071771,-33.8639844181475,943.573390071771,-49.035176539051,943.573390071771,-67.2524014918291,943.573390071771,271.790402195996,943.573390071771,250.310864381149,943.573390071771,231.385801735251
942.787333199894,-35.3171164610638,942.787333199894,-50.4931595048416,942.787333199894,-69.6095305715584,942.787333199894,-89.6732638671964,942.787333199894,250.085709014578,942.787333199894,228.134851469189,942.787333199894,-33.9516211219803,942.787333199894,-49.1584025960808,942.787333199894,-67.4133729541571,942.787333199894,-88.3973190916382,942.787333199894,250.126648995728,942.787333199894,231.233339587411
942.001276328014,-35.4788957930475,942.001276328014,-50.6283114203072,942.001276328014,-68.8454978815861,942.001276328014,-89.7939471840679,942.001276328014,246.503458742863,942.001276328014,229.10810742007,942.001276328014,-34.0391082002653,942.001276328014,-49.2815216910306,942.001276328014,-67.5742906660719,942.001276328014,-88.584912744825,942.001276328014,249.942756576644,942.001276328014,231.081286835645
941.21521945613,-34.9640238900846,941.21521945613,-50.8875021377431,941.21521945613,-68.3955617988145,941.21521945613,268.302382158815,941.21521945613,248.860129428322,941.21521945613,230.680911953568,941.21521945613,-34.1264473071333,941.21521945613,-49.4045366877386,941.21521945613,-67.7351581115067,941.21521945613,271.227618532973,941.21521945613,249.759184710407,941.21521945613,230.92964037431
940.429162584253,-35.3697880128939,940.429162584253,-51.3701767438601,940.429162584253,-69.7408974510399,940.429162584253,269.62592374697,940.429162584253,249.742803718346,940.429162584253,230.004643809153,940.429162584253,-34.213640108267,940.429162584253,-49.5274504623857,940.429162584253,-67.8959787786042,940.429162584253,271.040272046383,940.429162584253,249.575930990331,940.429162584253,230.778397110214
939.643105712369,-35.6387457996304,939.643105712369,-51.0125782212558,939.643105712369,-69.09607207543,939.643105712369,267.975627550675,939.643105712369,248.072297780696,939.643105712369,229.109763998105,939.643105712369,-34.3006882807432,939.643105712369,-49.6502659033939,939.643105712369,-68.0567561596509,939.643105712369,270.853045108119,939.643105712369,249.392993016473,939.643105712369,230.627553962547
938.857048840492,-35.4418482076815,938.857048840492,-50.8486446149067,938.857048840492,-69.6901658343625,938.857048840492,268.549198352476,938.857048840492,247.532464019548,938.857048840492,231.279904432458,938.857048840492,-34.3876230208406,938.857048840492,-49.7730212556019,938.857048840492,-68.2175280404519,938.857048840492,270.665911142574,938.857048840492,249.210359615511,938.857048840492,230.477110173789
938.070991968611,-35.6464144932951,938.070991968611,-51.298715015117,938.070991968611,-69.6984648275173,938.070991968611,269.086223436132,938.070991968611,248.580101477478,938.070991968611,229.305377227661,938.070991968611,-34.4744426835063,938.070991968611,-49.8957153367153,938.070991968611,-68.3782937746796,938.070991968611,270.47887061093,938.070991968611,249.028029778629,938.070991968611,230.32706261379
937.284935096727,-35.8625276008453,937.284935096727,-51.1470134843681,937.284935096727,-70.098571913285,937.284935096727,269.28531058722,937.284935096727,246.706694508754,937.284935096727,228.92191815177,937.284935096727,-34.5611229095682,937.284935096727,-50.0183198183506,937.284935096727,-68.5390264927749,937.284935096727,270.291942091333,937.284935096727,248.846008997259,937.284935096727,230.177406251823
936.498878224845,-35.4692481762234,936.498878224845,-51.1032755234446,936.498878224845,-69.5873568003098,936.498878224845,268.001324979602,936.498878224845,246.818198609623,936.498878224845,228.289968913974,936.498878224845,-34.6476654195523,936.498878224845,-50.1408376362978,936.498878224845,-68.6997297019479,936.498878224845,270.105122928589,936.498878224845,248.664294894765,936.498878224845,230.028138052825
935.712821352963,-36.099805673908,935.712821352963,-51.6622472162303,935.712821352963,-70.8073492971429,935.712821352963,269.309928392421,935.712821352963,247.192018833595,935.712821352963,229.283484613902,935.712821352963,-34.7340719446444,935.712821352963,-50.263271738159,935.712821352963,-68.86040691327,935.712821352963,269.91841047558,935.712821352963,248.482885101008,935.712821352963,229.879254993847
934.926764481084,-35.8914180974494,934.926764481084,-51.495534735775,934.926764481084,-69.540159333523,934.926764481084,267.414372205101,934.926764481084,248.282767036842,934.926764481084,229.315354087703,934.926764481084,-34.8203442265334,934.926764481084,-50.3856250832575,934.926764481084,-69.0210616416117,934.926764481084,269.731802093261,934.926764481084,248.301777252301,934.926764481084,229.730754063997
934.140707609202,-36.1930338559456,934.140707609202,-51.9646313484503,934.140707609202,-71.0821914561802,934.140707609202,266.927869753177,934.140707609202,245.830517573732,934.140707609202,228.706534007004,934.140707609202,-34.9064840172597,934.140707609202,-50.5079006425542,934.140707609202,-69.1816974055907,934.140707609202,269.545295150657,934.140707609202,248.120968991361,934.140707609202,229.582632264377
933.354650737323,-36.4631910912873,933.354650737323,-51.4702365647912,933.354650737323,-70.3999650258157,933.354650737323,268.032627990174,933.354650737323,247.474324097502,933.354650737323,227.980802735958,933.354650737323,-34.99249307906,933.354650737323,-50.6301013985612,933.354650737323,-69.3423177275138,933.354650737323,269.358887024868,933.354650737323,247.940457967266,933.354650737323,229.434886608032
932.568593865444,-36.1809991861658,932.568593865444,-52.1317241802944,932.568593865444,-70.8847264439077,932.568593865444,267.38752995458,932.568593865444,247.345584235361,932.568593865444,228.952618577027,932.568593865444,-35.0783731842176,932.568593865444,-50.7522303452652,932.568593865444,-69.5029261333295,932.568593865444,269.172575101059,932.568593865444,247.760241835402,932.568593865444,229.287514119887
