sep=,
NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
949.861845046817,1.90594374665139,949.861845046817,0,,
949.075788174938,1.90596491347011,949.075788174938,0,,
948.289731303059,1.90598613643291,948.289731303059,0,,
947.50367443118,1.90600741574183,947.50367443118,0,,
946.717617559296,1.90602875159988,946.717617559296,0,,
945.931560687416,1.90605014421096,945.931560687416,0,,
945.145503815532,1.90607159377993,945.145503815532,0,,
944.359446943657,1.90609310051257,944.359446943657,0,,
943.573390071771,1.90611466461562,943.573390071771,0,,
942.787333199894,1.90613628629678,942.787333199894,0,,
942.001276328014,1.90615796576469,942.001276328014,0,,
941.21521945613,1.90617970322896,941.21521945613,0,,
940.429162584253,1.90620149890015,940.429162584253,0,,
939.643105712369,1.90622335298983,939.643105712369,0,,
938.857048840492,1.90624526571051,938.857048840492,0,,
938.070991968611,1.9062672372757,938.070991968611,0,,
937.284935096727,1.90628926789991,937.284935096727,0,,
936.498878224845,1.90631135779864,936.498878224845,0,,
935.712821352963,1.90633350718836,935.712821352963,0,,
934.926764481084,1.9063557162866,934.926764481084,0,,
934.140707609202,1.90637798531185,934.140707609202,0,,
933.354650737323,1.90640031448366,933.354650737323,0,,
932.568593865444,1.90642270402258,932.568593865444,0,,
931.782536993563,1.9064451541502,931.782536993563,0,,
930.996480121682,1.90646766508913,930.996480121682,0,,
930.210423249798,1.90649023706303,930.210423249798,0,,
929.424366377918,1.90651287029663,929.424366377918,0,,
928.638309506041,1.90653556501567,928.638309506041,0,,
927.852252634154,1.90655832144698,927.852252634154,0,,
927.066195762279,1.90658113981845,927.066195762279,0,,
926.280138890394,1.90660402035904,926.280138890394,0,,
925.494082018515,1.90662696329877,925.494082018515,0,,
924.708025146633,1.90664996886878,924.708025146633,0,,
923.92196827475,1.90667303730127,923.92196827475,0,,
923.13591140287,1.90669616882955,923.13591140287,0,,
922.349854530989,1.90671936368803,922.349854530989,0,,
921.563797659112,1.90674262211223,921.563797659112,0,,
920.777740787233,1.90676594433877,920.777740787233,0,,
919.991683915347,1.90678933060542,919.991683915347,0,,
919.205627043466,1.90681278115105,919.205627043466,0,,
918.419570171587,1.9068362962157,918.419570171587,0,,
917.633513299707,1.90685987604051,917.633513299707,0,,
916.847456427828,1.9068835208678,916.847456427828,0,,
916.061399555944,1.90690723094103,916.061399555944,0,,
915.275342684068,1.90693100650483,915.275342684068,0,,
914.489285812183,1.90695484780498,914.489285812183,0,,
913.703228940306,1.90697875508847,913.703228940306,0,,
912.917172068421,1.90700272860344,912.917172068421,0,,
912.131115196539,1.90702676859922,912.131115196539,0,,
911.34505832466,1.90705087532637,911.34505832466,0,,
910.559001452782,1.9070750490366,910.559001452782,0,,
909.7729445809,1.90709928998289,909.7729445809,0,,
908.986887709018,1.90712359841938,908.986887709018,0,,
908.200830837137,1.90714797460148,908.200830837137,0,,
907.414773965257,1.9071724187858,907.414773965257,0,,
906.628717093373,1.90719693123021,906.628717093373,0,,
905.842660221493,1.90722151219381,905.842660221493,0,,
905.056603349615,1.90724616193696,905.056603349615,0,,
904.270546477733,1.9072708807213,904.270546477733,0,,
