sep=,
S2Chart
X of SiO2_calib 75  1 Measured 75 [Wavelength (nm)],SiO2_calib 75  1 Measured 75 - Delta,X of SiO2_calib 70  2 Measured 70 [Wavelength (nm)],SiO2_calib 70  2 Measured 70 - Delta,X of SiO2_calib 65  3 Measured 65 [Wavelength (nm)],SiO2_calib 65  3 Measured 65 - Delta,X of SiO2_calib 60  4 Measured 60 [Wavelength (nm)],SiO2_calib 60  4 Measured 60 - Delta,X of SiO2_calib 55  5 Measured 55 [Wavelength (nm)],SiO2_calib 55  5 Measured 55 - Delta,X of SiO2_calib 50  6 Measured 50 [Wavelength (nm)],SiO2_calib 50  6 Measured 50 - Delta,X of SiO2_calib 75  1 Generated 75 [Wavelength (nm)],SiO2_calib 75  1 Generated 75 - Delta,X of SiO2_calib 70  2 Generated 70 [Wavelength (nm)],SiO2_calib 70  2 Generated 70 - Delta,X of SiO2_calib 65  3 Generated 65 [Wavelength (nm)],SiO2_calib 65  3 Generated 65 - Delta,X of SiO2_calib 60  4 Generated 60 [Wavelength (nm)],SiO2_calib 60  4 Generated 60 - Delta,X of SiO2_calib 55  5 Generated 55 [Wavelength (nm)],SiO2_calib 55  5 Generated 55 - Delta,X of SiO2_calib 50  6 Generated 50 [Wavelength (nm)],SiO2_calib 50  6 Generated 50 - Delta
949.861845046817,58.1598805607413,949.861845046817,78.8316328706345,949.861845046817,98.2721962006,949.861845046817,114.889574876609,949.861845046817,129.328029432811,949.861845046817,140.434852614668,949.861845046817,58.5340157998136,949.861845046817,78.8211458809788,949.861845046817,97.8469280533706,949.861845046817,114.58141908483,949.861845046817,128.652578764285,949.861845046817,140.214829676818
949.075788174938,58.4120945678853,949.075788174938,79.6204093824929,949.075788174938,97.5622659196565,949.075788174938,114.919224419357,949.075788174938,129.019746401502,949.075788174938,140.288073127237,949.075788174938,58.5283971368865,949.075788174938,78.8079895914165,949.075788174938,97.8275009466246,949.075788174938,114.559536952607,949.075788174938,128.631934274253,949.075788174938,140.197625798055
948.289731303059,57.7680271343919,948.289731303059,78.6936451024648,948.289731303059,98.2542656288376,948.289731303059,115.081273342486,948.289731303059,128.38813845594,948.289731303059,140.682890250315,948.289731303059,58.522794610341,948.289731303059,78.7948637498728,948.289731303059,97.8081141805632,948.289731303059,114.537697975482,948.289731303059,128.611332930119,948.289731303059,140.18046571641
947.50367443118,57.9614422019999,947.50367443118,78.6415533093627,947.50367443118,97.9302676388522,947.50367443118,114.956287995357,947.50367443118,129.692870608169,947.50367443118,139.995215547194,947.50367443118,58.5172083696425,947.50367443118,78.7817685881622,947.50367443118,97.7887680872425,947.50367443118,114.515902584489,947.50367443118,128.590775239203,947.50367443118,140.163349988398
946.717617559296,58.0617882404469,946.717617559296,78.7185353735654,946.717617559296,97.1990275573452,946.717617559296,114.831592516055,946.717617559296,128.099478506345,946.717617559296,140.507856740292,946.717617559296,58.5116385651172,946.717617559296,78.768704339597,946.717617559296,97.7694630010944,946.717617559296,114.494151214108,946.717617559296,128.570261713335,946.717617559296,140.146279175903
945.931560687416,57.9691484979866,945.931560687416,79.1572270762912,945.931560687416,98.7759893032271,945.931560687416,115.867885945832,945.931560687416,128.691423097123,945.931560687416,140.875297799773,945.931560687416,58.5060853479558,945.931560687416,78.7556712389977,945.931560687416,97.7501992589465,945.931560687416,114.47244430229,945.931560687416,128.549792868904,945.931560687416,140.129253846234
945.145503815532,58.3040352474034,945.145503815532,78.6403257494939,945.145503815532,97.9741844460587,945.145503815532,115.670734784696,945.145503815532,128.671472543674,945.145503815532,140.063377453457,945.145503815532,58.5005488702178,945.145503815532,78.742669522703,945.145503815532,97.7309772000409,945.145503815532,114.450782290494,945.145503815532,128.529369226901,945.145503815532,140.112274572183
944.359446943657,58.4202078840458,944.359446943657,78.9515028053177,944.359446943657,97.2309492289112,944.359446943657,114.488063868091,944.359446943657,129.169982277009,944.359446943657,140.361652451002,944.359446943657,58.4950292848357,944.359446943657,78.7296994285806,944.359446943657,97.7117971660557,944.359446943657,114.429165623718,944.359446943657,128.508991312964,944.359446943657,140.095341932081
943.573390071771,57.9015346394229,943.573390071771,78.6010400225957,943.573390071771,98.7378300029082,943.573390071771,114.915615936699,943.573390071771,128.824398787428,943.573390071771,141.478101595191,943.573390071771,58.4895267456184,943.573390071771,78.716761196037,943.573390071771,97.6926595011232,943.573390071771,114.407594750528,943.573390071771,128.488659657425,943.573390071771,140.078456509854
942.787333199894,57.8490428948281,942.787333199894,78.9384626712079,942.787333199894,97.8081302805808,942.787333199894,114.360820087627,942.787333199894,128.877791088661,942.787333199894,140.217657635568,942.787333199894,58.4840414072562,942.787333199894,78.703855066029,942.787333199894,97.6735645518525,942.787333199894,114.386070123097,942.787333199894,128.468374795358,942.787333199894,140.061618895087
942.001276328014,58.3946939012307,942.001276328014,78.6290818353145,942.001276328014,96.6210345167159,942.001276328014,114.438177908554,942.001276328014,128.437888816058,942.001276328014,141.488637604787,942.001276328014,58.4785734253241,942.001276328014,78.6909812810732,942.001276328014,97.6545126673482,942.001276328014,114.364592197235,942.001276328014,128.448137266624,942.001276328014,140.044829683078
941.21521945613,57.8647795449253,941.21521945613,77.8219809955573,941.21521945613,98.3861725102957,941.21521945613,114.87087713463,941.21521945613,129.641701665459,941.21521945613,140.856634202284,941.21521945613,58.4731229562862,941.21521945613,78.6781400852577,941.21521945613,97.6355041992322,941.21521945613,114.343161432421,941.21521945613,128.427947615921,941.21521945613,140.028089474901
940.429162584253,57.811178029725,940.429162584253,78.572528869061,940.429162584253,98.3460177008349,940.429162584253,114.564086464101,940.429162584253,127.90513837142,940.429162584253,139.552076310271,940.429162584253,58.4676901574999,940.429162584253,78.6653317242522,940.429162584253,97.6165395016647,940.429162584253,114.321778291844,940.429162584253,128.407806392831,940.429162584253,140.011398877468
939.643105712369,58.3956508417793,939.643105712369,78.5954457073194,939.643105712369,97.1483688531924,939.643105712369,114.263713251353,939.643105712369,129.171216692901,939.643105712369,140.734317243434,939.643105712369,58.4622751872194,939.643105712369,78.6525564453191,939.643105712369,97.5976189313649,939.643105712369,114.300443242427,939.643105712369,128.387714151867,939.643105712369,139.994758503585
938.857048840492,57.7763044512874,938.857048840492,78.2446708325108,938.857048840492,97.6021979357806,938.857048840492,114.532158815344,938.857048840492,128.530475007094,938.857048840492,140.110696860857,938.857048840492,58.4569038420602,938.857048840492,78.6398419719091,938.857048840492,97.5787681727173,938.857048840492,114.279177955843,938.857048840492,128.36768839704,938.857048840492,139.978182323308
938.070991968611,57.8558515303499,938.070991968611,78.7016834093045,938.070991968611,98.1558639770533,938.070991968611,114.114016396698,938.070991968611,129.029107908296,938.070991968611,140.141278277337,938.070991968611,58.4515733270135,938.070991968611,78.6271854138901,938.070991968611,97.5599847359988,938.070991968611,114.257980565744,938.070991968611,128.347727860224,938.070991968611,139.961669544083
937.284935096727,58.1976207528028,937.284935096727,78.4356012815997,937.284935096727,97.4104143944373,937.284935096727,114.522811931645,937.284935096727,128.572727522236,937.284935096727,140.830052047499,937.284935096727,58.4462611388269,937.284935096727,78.614562743218,937.284935096727,97.5412466185891,937.284935096727,114.236832840222,937.284935096727,128.327818169158,937.284935096727,139.945209031863
936.498878224845,57.7493045884443,936.498878224845,78.6309735610535,936.498878224845,97.9221362979785,936.498878224845,115.178850938084,936.498878224845,128.82387997255,936.498878224845,140.700121683716,936.498878224845,58.4409674399255,936.498878224845,78.6019742143426,936.498878224845,97.522554188498,936.498878224845,114.215735262497,936.498878224845,128.307959899691,936.498878224845,139.928801424801
935.712821352963,58.2815622170818,935.712821352963,78.7356260500741,935.712821352963,97.8280879309745,935.712821352963,114.760050563951,935.712821352963,128.468091508081,935.712821352963,139.938167875026,935.712821352963,58.4356923936574,935.712821352963,78.5894200833689,935.712821352963,97.5039078164119,935.712821352963,114.194688319718,935.712821352963,128.288153632868,935.712821352963,139.912447367276
934.926764481084,58.5995459882175,934.926764481084,78.6216820386687,934.926764481084,97.2318861827373,934.926764481084,114.08780032324,934.926764481084,129.189632223126,934.926764481084,140.776036386083,934.926764481084,58.4304361642985,934.926764481084,78.576900608069,934.926764481084,97.4853078757168,934.926764481084,114.173692502994,934.926764481084,128.268399954981,934.926764481084,139.896147509955
934.140707609202,57.829146990411,934.140707609202,78.7409931052664,934.140707609202,97.5272545029346,934.140707609202,113.775971292849,934.140707609202,128.263310123613,934.140707609202,139.382556966111,934.140707609202,58.425198917056,934.140707609202,78.5644160478931,934.140707609202,97.4667547425208,934.140707609202,114.15274830744,934.140707609202,128.248699457622,934.140707609202,139.879902509865
933.354650737323,57.8969409138559,933.354650737323,78.4071279074128,933.354650737323,98.0454022748757,933.354650737323,113.965659712728,933.354650737323,128.406338927547,933.354650737323,140.412560186057,933.354650737323,58.4199808180731,933.354650737323,78.5519666639818,933.354650737323,97.4482487956776,933.354650737323,114.131856232208,933.354650737323,128.229052737741,933.354650737323,139.863713030454
932.568593865444,57.9819666530284,932.568593865444,77.7418252248248,932.568593865444,97.1973563689032,932.568593865444,113.90035079772,932.568593865444,129.221413815192,932.568593865444,141.166378077727,932.568593865444,58.4147820344325,932.568593865444,78.5395527191772,932.568593865444,97.42979041681,932.568593865444,114.111016780528,932.568593865444,128.209460397695,932.568593865444,139.847579741667
931.782536993563,57.7371195729636,931.782536993563,78.5142124646765,931.782536993563,97.4358570495616,931.782536993563,114.657691487416,931.782536993563,128.093805466307,931.782536993563,139.973988326018,931.782536993563,58.409602734161,931.782536993563,78.5271744780347,931.782536993563,97.4113799903324,931.782536993563,114.090230459746,931.782536993563,128.189923045307,931.782536993563,139.831503320011
930.996480121682,58.3757327604037,930.996480121682,78.3962175590977,930.996480121682,97.6129711117467,930.996480121682,114.613809569906,930.996480121682,128.754156061487,930.996480121682,139.917163632052,930.996480121682,58.4044430862334,930.996480121682,78.5148322068352,930.996480121682,97.393017903476,930.996480121682,114.069497781364,930.996480121682,128.170441293921,930.996480121682,139.815484448623
930.210423249798,58.0105210962909,930.210423249798,78.5656362463373,930.210423249798,98.0973119067442,930.210423249798,114.383163556268,930.210423249798,128.622911105161,930.210423249798,140.823932451013,930.210423249798,58.3993032605763,930.210423249798,78.5025261735966,930.210423249798,97.3747045463119,930.210423249798,114.048819261081,930.210423249798,128.151015762457,930.210423249798,139.799523817348
929.424366377918,58.3108604432638,929.424366377918,78.5240454608012,929.424366377918,97.0016062777804,929.424366377918,113.648493101212,929.424366377918,128.253969315587,929.424366377918,139.236463692378,929.424366377918,58.3941834280728,929.424366377918,78.4902566480864,929.424366377918,97.3564403117757,929.424366377918,114.02819541883,929.424366377918,128.131647075471,929.424366377918,139.783622122805
928.638309506041,57.6516239078511,928.638309506041,78.0512530821648,928.638309506041,97.0080229440465,928.638309506041,114.573911263376,928.638309506041,127.943447103885,928.638309506041,140.034861661789,928.638309506041,58.3890837605659,928.638309506041,78.4780239018332,928.638309506041,97.3382255956923,928.638309506041,114.007626778819,928.638309506041,128.11233586321,928.638309506041,139.767780068461
