sep=,
NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
949.861845046817,1.45105286648577,949.861845046817,0,,
949.075788174938,1.45106367731408,949.075788174938,0,,
948.289731303059,1.45107450606502,948.289731303059,0,,
947.50367443118,1.45108535278321,947.50367443118,0,,
946.717617559296,1.4510962175134,946.717617559296,0,,
945.931560687416,1.45110710030048,945.931560687416,0,,
945.145503815532,1.45111800118952,945.145503815532,0,,
944.359446943657,1.45112892022571,944.359446943657,0,,
943.573390071771,1.45113985745441,943.573390071771,0,,
942.787333199894,1.45115081292113,942.787333199894,0,,
942.001276328014,1.45116178667151,942.001276328014,0,,
941.21521945613,1.45117277875137,941.21521945613,0,,
940.429162584253,1.45118378920667,940.429162584253,0,,
939.643105712369,1.45119481808353,939.643105712369,0,,
938.857048840492,1.45120586542822,938.857048840492,0,,
938.070991968611,1.45121693128715,938.070991968611,0,,
937.284935096727,1.45122801570692,937.284935096727,0,,
936.498878224845,1.45123911873426,936.498878224845,0,,
935.712821352963,1.45125024041606,935.712821352963,0,,
934.926764481084,1.45126138079938,934.926764481084,0,,
934.140707609202,1.45127253993143,934.140707609202,0,,
933.354650737323,1.45128371785958,933.354650737323,0,,
932.568593865444,1.45129491463135,932.568593865444,0,,
931.782536993563,1.45130613029444,931.782536993563,0,,
930.996480121682,1.4513173648967,930.996480121682,0,,
930.210423249798,1.45132861848613,930.210423249798,0,,
929.424366377918,1.45133989111092,929.424366377918,0,,
928.638309506041,1.45135118281941,928.638309506041,0,,
927.852252634154,1.45136249366009,927.852252634154,0,,
927.066195762279,1.45137382368163,927.066195762279,0,,
926.280138890394,1.45138517293286,926.280138890394,0,,
925.494082018515,1.45139654146278,925.494082018515,0,,
924.708025146633,1.45140792932056,924.708025146633,0,,
923.92196827475,1.45141933655552,923.92196827475,0,,
923.13591140287,1.45143076321717,923.13591140287,0,,
922.349854530989,1.45144220935517,922.349854530989,0,,
921.563797659112,1.45145367501937,921.563797659112,0,,
920.777740787233,1.45146516025976,920.777740787233,0,,
919.991683915347,1.45147666512653,919.991683915347,0,,
919.205627043466,1.45148818967003,919.205627043466,0,,
918.419570171587,1.45149973394078,918.419570171587,0,,
917.633513299707,1.45151129798947,917.633513299707,0,,
916.847456427828,1.45152288186699,916.847456427828,0,,
916.061399555944,1.45153448562436,916.061399555944,0,,
915.275342684068,1.45154610931281,915.275342684068,0,,
914.489285812183,1.45155775298374,914.489285812183,0,,
913.703228940306,1.45156941668872,913.703228940306,0,,
912.917172068421,1.4515811004795,912.917172068421,0,,
912.131115196539,1.451592804408,912.131115196539,0,,
911.34505832466,1.45160452852634,911.34505832466,0,,
910.559001452782,1.45161627288681,910.559001452782,0,,
909.7729445809,1.45162803754186,909.7729445809,0,,
908.986887709018,1.45163982254416,908.986887709018,0,,
908.200830837137,1.45165162794653,908.200830837137,0,,
907.414773965257,1.45166345380199,907.414773965257,0,,
906.628717093373,1.45167530016374,906.628717093373,0,,
905.842660221493,1.45168716708516,905.842660221493,0,,
905.056603349615,1.45169905461983,905.056603349615,0,,
904.270546477733,1.45171096282148,904.270546477733,0,,
903.484489605854,1.45172289174408,903.484489605854,0,,
902.698432733971,1.45173484144175,902.698432733971,0,,
901.912375862091,1.45174681196881,901.912375862091,0,,
901.126318990209,1.45175880337977,901.126318990209,0,,
900.340262118332,1.45177081572932,900.340262118332,0,,
899.554205246451,1.45178284907236,899.554205246451,0,,
898.768148374568,1.45179490346397,898.768148374568,0,,
897.982091502687,1.45180697895943,897.982091502687,0,,
897.196034630807,1.4518190756142,897.196034630807,0,,
896.409977758926,1.45183119348394,896.409977758926,0,,
895.623920887047,1.45184333262452,895.623920887047,0,,
894.837864015166,1.451855493092,894.837864015166,0,,
894.051807143283,1.45186767494261,894.051807143283,0,,
893.265750271401,1.45187987823282,893.265750271401,0,,
892.479693399519,1.45189210301928,892.479693399519,0,,
891.693636527642,1.45190434935882,891.693636527642,0,,
890.907579655761,1.45191661730851,890.907579655761,0,,
890.121522783879,1.45192890692559,890.121522783879,0,,
889.335465911995,1.45194121826751,889.335465911995,0,,
888.54940904012,1.45195355139194,888.54940904012,0,,
887.763352168239,1.45196590635673,887.763352168239,0,,
886.977295296358,1.45197828321995,886.977295296358,0,,
886.191238424472,1.45199068203988,886.191238424472,0,,
885.405181552597,1.45200279258748,885.405181552597,0,,
